[2026-07-16 09:43:59][INFO] 从配置加载了 36 个种子URL
[2026-07-16 09:45:05][INFO] 抓取成功 [https://hqbzb.scu.edu.cn/info/1023/12719.htm] 11171 bytes
[2026-07-16 09:45:06][INFO] 抓取成功 [https://hqbzb.scu.edu.cn/info/1023/12715.htm] 10492 bytes
[2026-07-16 09:45:06][INFO] 抓取成功 [https://hqbzb.scu.edu.cn/info/1023/12714.htm] 11559 bytes
[2026-07-16 09:45:07][INFO] 抓取成功 [https://hqbzb.scu.edu.cn/info/1023/12708.htm] 20300 bytes
[2026-07-16 09:45:07][INFO] 抓取成功 [https://hqbzb.scu.edu.cn/info/1023/12707.htm] 25318 bytes
[2026-07-16 09:45:08][INFO] 抓取成功 [https://hqbzb.scu.edu.cn/info/1023/12705.htm] 11520 bytes
[2026-07-16 09:45:08][INFO] 抓取成功 [https://hqbzb.scu.edu.cn/info/1023/12704.htm] 11857 bytes
[2026-07-16 09:45:09][INFO] 抓取成功 [https://hqbzb.scu.edu.cn/info/1023/12703.htm] 26145 bytes
[2026-07-16 09:45:10][INFO] 抓取成功 [https://bwc.scu.edu.cn/tzgg.htm] 11986 bytes
[2026-07-16 09:45:11][INFO] 抓取成功 [https://bwc.scu.edu.cn/tzgg/2.htm] 12149 bytes
[2026-07-16 09:45:11][INFO] 抓取成功 [https://bwc.scu.edu.cn/info/1004/1671.htm] 15937 bytes
[2026-07-16 09:45:12][INFO] 抓取成功 [https://bwc.scu.edu.cn/info/1004/1931.htm] 12160 bytes
[2026-07-16 09:45:12][INFO] 抓取成功 [https://bwc.scu.edu.cn/info/1004/1691.htm] 9943 bytes
[2026-07-16 09:45:13][INFO] 抓取成功 [https://bwc.scu.edu.cn/tzgg/1.htm] 9513 bytes
[2026-07-16 09:45:13][INFO] 抓取成功 [https://bwc.scu.edu.cn/info/1004/1641.htm] 10397 bytes
[2026-07-16 09:45:14][INFO] 抓取成功 [https://bwc.scu.edu.cn/info/1004/1611.htm] 11279 bytes
[2026-07-16 09:45:14][INFO] 抓取成功 [https://bwc.scu.edu.cn/info/1004/1551.htm] 13748 bytes
[2026-07-16 09:45:15][INFO] 抓取成功 [https://bwc.scu.edu.cn/info/1004/1376.htm] 16992 bytes
[2026-07-16 09:45:15][INFO] 抓取成功 [https://bwc.scu.edu.cn/info/1004/1358.htm] 38199 bytes
[2026-07-16 09:45:16][INFO] 抓取成功 [https://bwc.scu.edu.cn/info/1004/1385.htm] 11024 bytes
[2026-07-16 09:45:16][WARN] HTTP 202 https://tuanwei.scu.edu.cn/index/gg.htm
